Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1996","1996","1000 USD","4802861","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1997","1997","t","3997502","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1997","1997","1000 USD","4493800","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1998","1998","t","4001513","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1998","1998","1000 USD","4451721","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1999","1999","t","3774085","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1999","1999","1000 USD","3933631","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2000","2000","t","4168690","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2000","2000","1000 USD","3935669","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2001","2001","t","4058404","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2001","2001","1000 USD","4030882","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2002","2002","t","3738791","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2002","2002","1000 USD","3444423","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2003","2003","t","4399967","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2003","2003","1000 USD","5015606","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2004","2004","t","4999777","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2004","2004","1000 USD","5991544","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2005","2005","t","4572810","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2005","2005","1000 USD","5827150","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2006","2006","t","4653599","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2006","2006","1000 USD","6203165","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","2007","2007","t","4912647","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","2007","2007","1000 USD","8652478","A","Official figure",""
